,title,ingredients,instructions
446,"Гречка с капустой ""Добрая трапеза""",вода капуста_белокочанная крупа_гречневая лук масло_растительное перец_черный порошок_грибной соль,"Гречневую крупу промыть и прокалить на сухой, горячей сковороде, постоянно помешивая несколько минут. (5-7 минут) | Капусту нашинковать. | Гречневую крупу залить кипятком (500 мл), посолить, поперчить, добавить грибной порошок. Перемешать. | Сверху выложить подготовленную капусту, НЕ перемешивать с крупой! Накрыть крышкой и готовить на слабом огне до готовности гречки. (приблизительно 20-25 минут) | В это время лук нарезать полукольцами и обжарить в растительном масле до прозрачности. | В готовую кашу выложить лук, хорошо перемешать. Кастрюлю накрыть крышкой, выключить огонь. Укутать кастрюлю с кашей в большое полотенце и оставить на 30 минут. Пусть отдохнет и дойдет до полной готовности."
447,"Гречка с овощами ""Богатая""",капуста_цветная крупа_гречневая лук масло_растительное морковь перец_болгарский перец_черный помидор сельдерей_черешковый соль укроп чеснок шпинат,"Гречневую крупу промыть до прозрачной воды. Чеснок очистить, порубить ножом. | Лук и морковь очистить. Лук, помидор, болгарский перец нарезать кубиками. | Морковь натереть на терке. | Стрелку сельдерея нарезать полукружками или кубиками. | Цветную капусту (у меня замороженная) не крупно нарезать. | В казане на растительном масле обжарить лук, морковь, болгарский перец, чеснок, сельдерей, цветную капусту 5мин. Добавить помидор и тушить еще 5 мин. Вскипятить воду в чайнике. Всыпать гречневую крупу в казан к овощам, тушить постоянно помешивая 1-2 мин. Добавить кипяток, (я всегда добавляю воды на глаз. Примерно на 2 пальца выше гречки с овощами), а также соль и черный молотый перец по вкусу. Убавить огонь, накрыть крышкой. Готовить 20-25мин. Нарезать шпинат, зеленый лук и укроп. Добавить их в гречку за пару минут до готовности, перемешать. | P.S. Вы можете нарезать овощи произвольно. Я режу мельче, потому что мой сын большой привереда. Он категорически не ест овощи! Но эту гречку он ""уплетает"" тарелками, не смотря на их обилие."
449,Рис джоллоф с курицей,бедро_куриное бульон кориандр лимон лук масло_растительное перец_белый перец_чили петрушка помидор рис соль томатная_паста чеснок,"У автора рецепт рассчитан на 6 порций, я уменьшил всё до двух. Взял три куриных бедра, из расчёта: два себе, одно - жене. Куриные бёдра посыпаем солью, молотым кориандром и белым перцем (у меня смесь перцев). Натираем. | На сковороду или сотейник наливаем масло, нагреваем, кладём куриные бёдра и обжариваем с обеих сторон на среднем огне до румяности 7-8 минут. | Перекладываем бёдра в форму, кладём помидоры черри и запекаем 40 минут при 180 градусах. Автор предлагает запекать 20 минут, потом положить помидоры, но в этом случаем, на мой взгляд, помидоры не дойдут до необходимой мягкости. | Овощи и зелень моем, чистим. Мелко режем лук, чеснок, перец чили и стебли петрушки. | В сковороду, где жарилась курица, по необходимости добавляем ещё масло, пассеруем овощи на слабом огне 10 минут. Добавляем томатную пасту и порезанные помидоры. Перемешиваем. | Добавляем куриный бульон, соль, доводим до кипения и на слабом огне тушим 5 минут. | Для этого рецепта необходим длиннозёрный рис. На мой взгляд, рис ""Жасмин"" от ""Мистраль"" подходит идеально. | Кладём рис, накрываем крышкой и готовим 15 минут на слабом огне, периодически помешивая и добавляя бульон по необходимости. | После того, как курица будет готова, кладём запечённые помидоры черри (с курицы) к рису. Туда же выливаем сок, оставшийся от запекания курицы. | Разминаем черри вилкой, добавляем рубленные листья петрушки, перемешиваем. | Отключаем огонь. | Подаём курицу на подушке из риса с долькой лимона. На фото ещё девайс - подарок жене - выдавливалка сока лимона. Забыл название. Приятного аппетита!"
450,Плов постный,барбарис зира куркума лук масло_подсолнечное морковь перец_чили рис соль сухофрукты чеснок,"Для плова я взяла рис САМАРКАНД ТМ Мистраль. Отличный рис для этого блюда. Рис нужно замочить хотя бы часа на 2 заранее, а потом промыть Сухофрукты размочить и обсушить бумажным полотенцем. | Лук режем полукольцами. | Берём подходящую посуду. У меня есть вок. Разогрела его с маслом и выложила лук. Важно! Масло нужно налить столько, чтобы лук им покрылся. У меня ушло 150 мл. Лук обжариваем до золотого цвета. | Выкладываем сухофрукты обсушенные и обжариваем их с луком на среднем огне. | Не ленимся и для плова морковь нарезаем брусочками. | Отправила в вок. Жарим всё почти до готовности на среднем огне. | Чтобы зира раскрыла свой аромат, разбиваем её в ступке. | Зиру, барбарис и соль отправляем в вок и наливаем воду, чтобы она покрыла всё. Делаем минут 20-30 на огне, покрыв крышкой. | Специи, которые нам понадобятся для плова. | Чеснок максимально чистим, но оставляем в шкурке. Выкладываем в вок вместе с перцем жгучим и делаем ещё минут 15. | Пришло время риса. Выкладываем ровным слоем рис, предварительно вынув чеснок и стручок перца на тарелку. Делаем на среднем огне до полного впитывания влаги рисом. Это минут 15. | Собираем рис горкой и проделываем отверстия до дна. Можно палочкой или ложкой - обратной стороной. Убавляем огонь на MIN, накрываем крышкой и делаем до готовности - до рассыпчатого риса."
451,"Плов ""Крупный""",баклажан зира кориандр крупа_перловая куркума лук масло_растительное морковь перец_черный сахар соль тмин чеснок,"Баклажан вымыть, нарезать кубиками. Слегка посолить и отставить на 10 - 15 минут. | Перловую крупу промыть и залить 3 стаканами кипятка. Я использую БАРЛИ от ТМ Мистраль, качество на высшем уровне. Дать закипеть, добавить сахар ( для лучшего разваривания крупы), варить 40 минут на медленном огне. | Следить чтоб не выкипало и не пригорало. Периодически перемешивать. В конце варки посолить. | В это время лук и морковь почистить и нарезать. Лук - кубиком, морковь - соломкой. | На 1 ст. л. растительного масла обжарить до прозрачности лук. Затем выложить к луку морковь и обжарить до мягкости, постоянно перемешивая. Займет это 10 минут. | Кориандр, зиру и тмин истолочь в ступке. | Баклажаны промыть в проточной воде, дать стечь жидкости. Выложить в сковороду к овощам, влить оставшееся масло. Жарить на большом огне, 5 минут, перемешивая. Это не даст баклажанам впитать много масла, оставив кусочки целыми. Огонь убавить. | Добавить специи, черный молотый перец, куркуму. | Добавить измельченный чеснок. | Крупа сварилась. Выложить ее к овощам, перемешать. Прожарить пару минут для объединения вкусов. | Подавать горячим."
452,Пшенная запеканка,изюм клюква крупа_манная курага масло_сливочное пшено сахар сливки соль сыр_сливочный яйцо_куриное,"Пшено тщательно промыть теплой водой. Плохо промытое пшено будет горчить и испортит вкус блюда. Крупу отварить до готовности, слегка посолить. Я варила 10 мин. Остудить кашу до тёплого состояния. Я промыла готовое пшено холодной водой, дала стечь излишкам воды (можно не промывать). | Курагу, клюкву, изюм залить кипятком на 1 мин., слить воду, обсушить бумажным полотенцем и добавить в пшено (курагу измельчить на небольшие кусочки). Хорошенько все перемешать. | Стеклянную или керамическую прямоугольную форму размером 18х12 см, глубина 4 см смазать сливочным маслом, обсыпать манной крупой. Выложить пшенную массу и разровнять. | Яица взбить с сахаром и ванильным сахаром до светлого пышного состояния, добавить сливочный сыр, сливки и взбить. Залить пшено. | Форму несколько раз пристукнуть об стол (без фанатизма), чтобы часть яичной массы проникла внутрь. | Выпекать пшенную запеканку в разогретой от 180*С до 200*С духовке 25-30 минут, до золотистой корочки (следите за своей духовкой). Дать запеканке полностью остыть."
453,Пшёно-картофельные котлеты,вода капуста_белокочанная картофель лук масло_подсолнечное перец_черный петрушка пшено сахар соль,"Немного о капусте квашенной. Беру банку 2 л. Укладываю туда куски нарезанной капусты величиной такой, которые будут пролазить в горлышко банки не распадаясь на отдельные листья, выкладываем плотно. Капуста получится как из бочки- вилковая. На 1 литр воды кладём 1 ст л крупной соли ( (ложка с горкой), перемешиваем по полного растворения соли и заливаем капусту в банке ""по плечики"". Ставим банку в глубокую тарелку, накрываем крышкой (не закрывать, а просто накрыть) и оставляем в домашней температуре 5 дней. Капуста будет ""кипеть"" и жидкость выльется в тарелку. Готова. Вынимаем капусту из жидкости в посуду с крышечкой и ставим в холодильник. Это очень вкусная капуста. Ну а полезная-бесспорно. Для подачи, сыплю сахарный песок и наливаю масла подсолнечного с запахом, посыпаю зеленью. | Взяла для котлет пшено в пакетиках ТМ МИСТРАЛЬ. Сварила его, следуя инструкции на упаковке | Пока пшено варилось, почистила лук и картофель. | Натираем лук и картофель на тёрке, как для драников. Первым натираю лук, чтобы картофель не потемнел. Выкладываем крахмал для связки и пшено. Т к пшено отваривалось в солёной воде, немного досаливаем смесь (по вкусу). | Перчим по желанию и вкусу. Перемешиваем. Я для этого беру деревянную ложку. | Ставим сковороду на огонь, наливаем масло. Можно обжарить котлетки в большем количестве масла. Я только подмазываю. На разогретую сковороду выкладываем котлеты, формируя их сырыми руками. Котлеты отлично формируются и при жарке не разваливаются. Из этого количества смеси получилось 6 шт довольно крупных котлет. Картофель и лук у нас сырой, поэтому огонь убираем на MIN, когда котлеты ещё жарятся с первой стороны. | Лучше их накрыть крышкой. | Переворачиваем и опять под крышкой дожариваем до готовности."
454,Мясной хлебец с гречкой и шампиньонами,бекон крупа_гречневая лук масло_оливковое перец_черный сода соль тимьян фарш шампиньоны яйцо_куриное,"Приготовить начинку. Гречку отварить согласно инструкции на упаковке. | Шампиньоны почистить и нарезать пластинами. | Нарезать кольцами белую часть лука-порея. | На сковороде разогреть оливковое масло. Обжарить шампиньоны и добавить лук-порей. Обжаривать несколько минут до мягкости лука. Затем посолить и поперчить. Снять с огня. | Соединить гречневую крупу и грибы. Хорошо перемешать | Нарезать зеленую часть лука-порея. | Репчатый лук почистить и нарезать мелким кубиком. | Бекон нарезать небольшими кусочками. | В сковороду, в которой обжаривались грибы, налить оливковое масло. Обжарить бекон, зеленую часть лука-порея и репчатый лук. | Обжаренную смесь добавить к фаршу. Перемешать. | Вбить в массу яйцо. Посолить, поперчить, добавить листочки тимьяна и хорошо вымесить фарш. | Форму для выпечки кекса застелить пергаментом (я бумагу намочила). Фарш разделить на две части. Большую часть выложить в форму, формируя бортики. Затем выложить гречневую начинку, слегка ее утрамбовывая. При этом бортики из фарша будут приподниматься вверх. | Сверху гречневой начинки выложить остальной фарш. Закройте им всю поверхность, соединяя края. Форму отправить в разогретую духовку (180 градусов). Запекать 40 минут до золотистой корочки. Готовый хлебец извлечь из духовки. Дать слегка остыть и освободить от формы. | Приятного аппетита!"
455,"Ветчинный ролл с рисом, яйцом, сыром",ветчина йогурт масло_растительное петрушка рис соль специи сыр_полутвердый яйцо_куриное,"Удобно брать нарезку ветчины, т. к. нужны достаточно тоненькие ломтики. Отварить рис согласно инструкции на упаковке и остудить. Я использовала рис Янтарь ТМ Мистраль. | Натереть сыр на стандартной крупной терке, мелко нарезать листики петрушки или Вашей любимой зелени, нарезать отварные яйца. Смешать рис, сыр, зелень и яйца. | Добавить йогурт или сметану. Я использовала нежирный натуральный йогурт без добавок. Перемешать. Начинка готова, попробуйте и откорректируйте на соль, при желании добавьте специи. Я готовила блюдо в расчете на ребенка и ничего добавлять не стала. | Кладем начинку на ломтик ветчины и сворачиваем ролл. Мне было удобно формировать ролл в руке. | Края ветчины у меня получились в стык. После приготовления края чуть разошлись, буквально на 1мм, но начинка никуда не вылезла, и не вытекла. На следующий день я приготовила роллы, сделав края внахлест, получилось тоже отлично! | Смазать маслом противень или форму для запекания и выложить роллы стыком вниз. Сверху я смазала роллы также маслом. Я использовала кокосовое масло. Включить разогрев духовки 200°. | Я запекала роллы 5 минут в разогретой духовке на 200°, затем 5 минут в режиме верхнего гриля, затем выключила духовку и оставила в ней роллы ещё на 5 минут. Можно просто запекать около 10 минут. | Подавать роллы тёплыми с зеленью, свежими овощами или всем, чем пожелаете! Лёвушка, увидев, что бабушка меня фотографирует, расплакался горючими слезами и потребовал своё присутствие в кадре и ветчинный ролл!"
456,Гречка с грибами и золотистым луком,вода крупа_гречневая лук масло_растительное масло_сливочное мука_пшеничная сметана соль тимьян шампиньоны,Гречку отварим до готовности согласно инструкции на упаковке. Я использую для этого блюда гречневую крупу ТМ Мистраль. | Добавим масло. Я масла для гречки не жалею. Кашу маслом не испортишь. | Лук нарежем кубиком. | Обваляем в муке (2 ст. л.) | Обжарим в кипящем масле до хрустящего состояния. | Вот такой лучок у нас получился. | Грибы нарежем достаточно крупно. | Обжарим с добавлением растительного масла около 10 минут. | Добавим сметану. | Листики тимьяна. Потушим несколько минут. В воде размешать тщательно оставшуюся муку и соль. Влить к грибам и помешивая тушить до загустения соуса. Поперчить. Снять с огня. | Смешать гречку с грибами. Выложить на тарелку. Сверху обильно посыпать золотистым луком. | Подать к столу. | Приятного аппетита!
457,Капустные котлеты,капуста_белокочанная картофель крупа_манная лук масло_подсолнечное мука_пшеничная перец_черный соль сухари_панировочные чеснок,"Капусту мелко режем для котлет. Конечно можно её разбить измельчителем, но мне в котлетах нравится порезанная. | Заливаем капусту кипятком и накрываем крышкой, держим час, чтобы капуста стала мягкая. Откидываем её на дуршлаг, чтобы стекла вся вода. | Натираем лук и картофель, выкладываем капусту, выдавливаем чеснок, добавляем семолину или манную крупу. Перемешиваем, солим и перчим по вкусу. Выкладываем муку и можно всё перемешать сырыми руками. | Котлеты отлично держат форму и формируются. Панируем котлеты в сухарях, хотя можно просто их выкладывать на сковороду без панировки. Можно обвалять котлеты в манке. | Жарим. Котлеты хорошо пожарить в большем количестве масла, не так как я делаю. Я ем мало жареного и котлеты сделала с MIN масла и под крышкой с обеих сторон. В большом количестве масла котлеты будут с хрустящей корочкой. | Переворачиваем и доделываем. Я опять котлеты крышкой накрыла. | Готовы. Из этого количества фарша у меня получилось 8 шт котлеток."
458,Пирог из кус-куса с сыром и томатами,вода кус-кус лук масло_оливковое соль специи сыр_голландский томаты_в_собственном_соку яйцо_куриное,"Необходимые продукты и немного томатов в собственном соку. | Перемешать кус-кус со специями и солью. Залить горячей водой, накрыть крышкой и оставить минут на пять. | Лук нарезать и спассеровать с томатами в оливковом масле. | Перемешать кус-кус с овощами. | Добавить сыр и яйца, хорошо перемещать. | Форму смазать оливковым маслом, выложить туда кус-кус, разровнять и выпекать 30 минут при 180°С"
459,Морковно-овсяные котлеты,масло_растительное молоко морковь мука_пшеничная соль сыр_сливочный хлопья_овсяные чеснок,"Это все необходимые нам продукты. | Смешиваем овсянные хлопья с мукой, солью, одной ложкой масла и заливаем теплым молоком. Размешиваем, накрываем крышкой и оставляем на 30 минут. | В это время моем, чистим и натираем морковь на терке. Я это делала на мелкой терке, но это не столь принципиально, можете натирать и на крупной, если Вам так больше нравится. | Соединяем морковь со сливочным сыром и перемешиваем. По желанию можно добавить натёртый на мелкой терке чеснок. Также можете добавить любые травы и специи по вашему вкусу! | По истечению 30 минут добавляем морковную смесь к настоявшимся хлопьям и все тщательно перемешиваем. | Формируем котлетки и выкладываем на разогретую сковороду с маслом. Можно выкладывать их ложкой, но я формировала смоченными в воде руками. Жарим на среднем огне до золотистого цвета с обеих сторон. | Вот такие котлетки у меня получились. | Приятного аппетита!"
460,"Рис с баклажаном ""По минутам""",баклажан лук масло_растительное масло_топленое перец_болгарский петрушка помидор рис соль,"Пока закипает вода для варки риса, вымыть и нарезать кубиками баклажан. Разогреть сковороду с растительным маслом. | Баклажан выложить в миску, посолить. Лук почистить и нарезать полукольцами. | Выложить лук в сковороду, обжаривать на среднем огне, 3 минуты. Вода закипела, посолить и положить пакет с рисом. Поставить таймер на 15 минут. | Баклажан промыть от соли, откинуть на сито. | Добавить к луку перец, баклажан. Жарить на среднем огне, помешивая 7 - 10 минут. В конце добавить топленое масло и рубленную зелень. Посолить. | В это время можно вымыть и нарезать помидор, посолить и заправить его маслом и зеленью. Салат готов. | Сваренный рис отцедить от воды, выложить из пакета в сковороду. | Перемешать и подавать к столу."
461,Гречка с ароматной заправкой,базилик крупа_гречневая лимон масло_оливковое мед перец_чили тимьян цуккини,"Ставим вариться гречневую крупу. | Цуккини нарезаем тоненькими кружочками и обжариваем на среднем огне с одной стороны. | Перец режем мелко (у меня засушенный). | Переворачиваем цуккини и отправляем на сковороду перец. | Смешиваем оливковое масло, лимонный сок, мед (если густой, то после массу нужно слегка прогреть, чтобы мед растворился) и травы. Готовую гречку выкладываем в тарелки, сверху кладем цуккини и поливаем заправкой."
462,Гречка с цуккини и горошком,горошек_зеленый крупа_гречневая лук мята сметана тимьян цедра_лимона цуккини чеснок,"Ставим отвариваться нашу гречневую крупу. | В это время лук и чеснок обжариваем минут пять на сковороде, на среднем огне. | Добавляем цедру и тимьян, обжариваем все в течение минуты. | Цуккини нарезаем некрупными кубиками и отправляем на сковороду, солим. | Через пару минут отправляем к овощам горошек, накрываем крышкой и оставляем на среднем огне минут на 8-10. | В конце добавляем сметану с мятой и выключаем сразу же."
463,"Рис с овощами ""Ужин дачника""",вода лук масло_растительное морковь перец_болгарский перец_черный помидор рис сок_томатный соль,"В кастрюле с толстым дном разогреть растительное масло. Добавить репчатый лук, нарезанный кубиками. | Добавить морковь, натертую на крупной терке. | Сюда же отправить и болгарский перец, освобожденный от семян и перепонок, нарезанный кубиками. | И помидор, также нарезанный кубиками. Перемешать овощи. Потушить 2-3 минуты. | Использовать рис в пакетиках - отличное решение для приготовления быстрого ужина. Рис пропаренный и приготовится за считанные минуты, в разы быстрее обычного риса. | Вскрыть пакетики, рис высыпать в стакан (или чашку, чем удобнее отмерить нужное количество) | Рис всыпать к овощам. | Жидкости (в данном случае томатный сок плюс вода) добавить в два раза больше, чем риса. Для этого мы и отмерили количество риса. | Добавить соль, молотый перец, перемешать, довести до кипения. Огонь убавить и готовить 15 минут, столько, сколько и варится рис в пакетике. Несколько раз перемешать, во избежание пригорания. Если жидкости будет маловато, добавить немного кипятка. | Ужин дачника или туриста готов! | Приятного аппетита!"
464,"Пшенная каша ""Дачная обжорка""",колбаса куркума лук масло_растительное морковь пшено соль,"Ставим варить пшено, как указано на упаковке. | Параллельно делаем заправку к каше. Режем лук и морковь произвольно. | На сковороду наливаем масло и нагреваем его. Выкладываем лук, золотим. Наливаем чуть воды (50 мл) и выкладываем морковь, добавляем куркуму, перемешиваем, накрываем крышкой, убавляем огонь и держим до готовности овощей. Это минут 10. | Режем колбасу или мясо, или сосиски. | Выкладываем к овощам. | Пшено сварилось. | Выкладываем к овощам и перемешиваем. Готово!"
465,Пикантная гречка с овощами,вода крупа_гречневая лук масло_растительное морковь перец_сладкий перец_черный перец_чили петрушка соль томатная_паста чеснок,"Опустить три пакетика с гречневой крупой в кипящую воду, не открывая их. Накрыть крышкой и варить на медленном огне 20 минут. Пока варится гречка, есть 20 минут для приготовления овощей. | Поставить разогревать сковороду. Сладкий перец нарезать брусочками. | Морковь - соломкой, перец чили - мелкими кубиками. | Репчатый лук - четвертькольцами. | На разогретую сковороду налить растительное масло и обжарить в нем нарезанный лук в течение двух минут. | Добавить подготовленные морковь и перец чили. Жарить, помешивая, три минуты. | Добавить сладкий перец, готовить в течение 3 минут. | Развести томатную пасту в теплой кипяченой воде. | Залить овощи, накрыть крышкой. Готовить в течение 3 минут. | Достать пакетик с гречкой, дать стечь воде, аккуратно вскрыть пакетик сбоку и выложить гречку к овощам. | Все соединить, добавить соль, перец по вкусу и по желанию измельченный чеснок. Хорошо перемешать и выключить огонь."
466,Рисовое соте в азиатском стиле,капуста_пекинская лук масло_растительное морковь перец_чили рис сахар соевый_соус соль яйцо_куриное,"Берём рис. Я выбрала рис Индика в пакетиках от ТМ ""Мистраль"", кладём в кипящую воду и варим 20 минут до готовности. | Пока варится рис, моем и чистим овощи. Лук режем кубиками, морковь кружками, пекинскую капусту полосками. Также сразу мелко режем зелёный лук и перец чили. Пекинской капусты берём белую часть, она сочнее. | На горячую сковороду наливаем 2 ст. ложки растительного масла, кладём лук и обжариваем до прозрачности. Далее кладём морковь, перец чили и обжариваем ещё пару минут. | Кладём пекинскую капусту и зелёный лук, обжариваем всё 2 минуты. | Добавляем соевый соус, соль и сахар, перемешиваем, тушим 2 минуты. | В миске взбиваем вилкой яйца с солью, на сковороду наливаем ложку масла и жарим яйца. Готовую яичницу измельчаем вилкой. | Готовый пакетик риса достаём вилкой, кладём рис к овощам. | Туда же кладём ""порванную"" яичницу. | Перемешиваем. Отключаем огонь. | Подаём блюдо сразу горячим. Приятного аппетита!"
467,Дачная джамбалайя,грудинка колбаски лук масло_растительное орегано паприка_сладкая перец_сладкий_зеленый помидор рис сельдерей_корневой соль тимьян,"Приготовим продукты. Рис возьмем Индика голд – он красивый, ароматный и очень вкусный. Пока закипает вода, шинкуем овощи соломкой, сельдерей трем на крупной терке, Вообще-то в джамбалайю берут черешковый сельдерей, но у меня его не оказалось. Ну- главное- знаменитая каджунская тройка в блюде есть- лук, зеленый перец и сельдерей- пусть и корневой!))) | Опускаем пакетики с рисом в кипящую подсоленную воду. В глубоком сотейнике слегка обжариваем на масле нарезанную кубиками грудинку – у меня просто соленая в этот раз – шинкованные лук и перец, сельдерей. | Добавляем нарезанные колбаски и посыпаем все паприкой. Обжариваем, помешивая, до подрумянивания. | Добавляем кубики помидора – лучше брать плотный. Обжариваем до размягчения помидорных кубиков. | Добавляем томатный соус – у меня домашний уваренный с сельдереем и перцем – посыпаем орегано и тимьяном, чуть подсаливаем. Перемешиваем и накрываем крышкой. Тушим на слабом огне до готовности риса. | Сваренный рис отцеживаем, чуть обсушиваем и выкладываем к овощам. | Перемешиваем и подаем сразу же! | Джамбалайю вполне можно подавать на стол в той же посуде, в которой ее готовили. | И уже на столе раскладывать по тарелкам и есть горячей, в сопровождении острого перца, чеснока и свежей зелени!"
468,Овсяные котлеты,лук масло_растительное молоко перец_черный соль сыр_твердый хлопья_овсяные яйцо_куриное,"Это все необходимые нам продукты. | Натираем сыр на крупной терке. | Нарезаем лук мелкими кубиками. | Соединяем все ингридиенты: овсяные хлопья, натёртый сыр, порезанный лук, молоко, яйца и все перемешиваем. | Добавляем соль, перец и все тщательно перемешиваем. Формируем шарики в форме котлеток. | Выкладываем наши котлетки на хорошо разогретую сковороду с растительным маслом и жарим на среднем огне до появления румяной корочки. | При появлении румяной корочки переворачиваем котлеты на другую сторону. | Вот такие замечательные, вкусные и хрустящие котлетки у нас получились."
469,Рататуй с гречкой,кабачок крупа_гречневая масло_растительное перец_болгарский перец_красный_жгучий перец_черный петрушка помидор приправа соль чеснок,"Подготовить все продукты. | Поставить на огонь кастрюлю с 1 л воды. Как закипит, добавить пакет гречки и соль- ставим таймер на 20 минут. | Нарезать все овощи кубиками по 1,5 см, чеснок мелко. Добавить масло, прованские травы, перец, соль. Перемешать Нарезать петрушку. | Разогреть сковороду и выложить овощи, посолить, поперчить и помешивая, довести до готовности. Минут 10. Накрывая крышку. | Вынуть пакетик гречки, дать немного стечь воде, выкладываем ее на тарелку, сверху рататуй из овощей. Посыпать петрушкой. Очень вкусно, ароматно и быстро. | Приятного аппетита!"
470,Пшено с картофелем и луком,картофель лист_лавровый лук масло_растительное перец_черный петрушка пшено соль чеснок яйцо_куриное,"Подготовить продукты по списку. | Ставим две кастрюльки с водой. Даем закипеть, в одну добавить соль, опустить пакетик с пшеном. Ставим таймер на 20 минут. | Пока закипает вторая кастрюлька с водой, почистить картофель, нарезать его кубиками со стороной 1,5 - 2 см. Закинуть в воду, посолить, добавить, лавровый лист и почищенный зубчик чеснока. Варим минут 8 -12. Следить, чтоб не переварился, картофель разный. Одновременно в маленькой кастрюльке залить холодной водой яйца и отварить в течении 8 минут после закипания. | Нарезать лук перьями, у меня большой -150 г. Чем больше лука, тем вкуснее. Нагреть сковороду с маслом, выложить лук и обжарить на небольшом огне, помешивая, до золотистого цвета. Яйца остудить, почистить и нарезать кубиками. Слить воду с картофеля, накрыть крышкой. Выложить к луку яйца. Перемешать, прогреть несколько секунд. | Затем добавить нарезанный зеленый лук, нужные специи по вкусу. | Вынуть пакетик пшена из кипятка, дать стечь воде. На блюдо выложить картофель, сверху пшено и залить луково-яичной заправкой. Приятного аппетита!"
