,title,ingredients,instructions
466,Рисовое соте в азиатском стиле,"Рис (Рис Индика в пакетиках ТМ ""Мистраль"") — 1 пакет. | Лук репчатый — 1/2 шт | Капуста пекинская — 1/2 шт | Морковь (небольшая) — 1 шт | Масло растительное — 3 ст. л. | Соевый соус — 2 ст. л. | Соль — 1 ч. л. | Сахар — 1 ч. л. | Яйцо куриное — 2 шт | Перец чили — 1/2 шт | Лук зеленый","Берём рис. Я выбрала рис Индика в пакетиках от ТМ ""Мистраль"", кладём в кипящую воду и варим 20 минут до готовности. | Пока варится рис, моем и чистим овощи. Лук режем кубиками, морковь кружками, пекинскую капусту полосками. Также сразу мелко режем зелёный лук и перец чили. Пекинской капусты берём белую часть, она сочнее. | На горячую сковороду наливаем 2 ст. ложки растительного масла, кладём лук и обжариваем до прозрачности. Далее кладём морковь, перец чили и обжариваем ещё пару минут. | Кладём пекинскую капусту и зелёный лук, обжариваем всё 2 минуты. | Добавляем соевый соус, соль и сахар, перемешиваем, тушим 2 минуты. | В миске взбиваем вилкой яйца с солью, на сковороду наливаем ложку масла и жарим яйца. Готовую яичницу измельчаем вилкой. | Готовый пакетик риса достаём вилкой, кладём рис к овощам. | Туда же кладём ""порванную"" яичницу. | Перемешиваем. Отключаем огонь. | Подаём блюдо сразу горячим. Приятного аппетита!"
467,Дачная джамбалайя,"Рис (Индика голд ТМ ""Мистраль"") — 2 пакет. | Лук репчатый — 1 шт | Перец сладкий зеленый — 1 шт | Сельдерей корневой (но лучше черешковый) — 150 г | Помидор (плотный) — 1 шт | Колбаски (копченые охотничьи) — 2 шт | Грудинка (у меня соленая) — 100 г | Соус томатный (или помидоры в с/соку) — 150 мл | Масло растительное — 1 ст. л. | Паприка сладкая — 1 ч. л. | Орегано — 1 ч. л. | Тимьян — 1/2 ч. л. | Соль — по вкусу","Приготовим продукты. Рис возьмем Индика голд – он красивый, ароматный и очень вкусный. Пока закипает вода, шинкуем овощи соломкой, сельдерей трем на крупной терке, Вообще-то в джамбалайю берут черешковый сельдерей, но у меня его не оказалось. Ну- главное- знаменитая каджунская тройка в блюде есть- лук, зеленый перец и сельдерей- пусть и корневой!))) | Опускаем пакетики с рисом в кипящую подсоленную воду. В глубоком сотейнике слегка обжариваем на масле нарезанную кубиками грудинку – у меня просто соленая в этот раз – шинкованные лук и перец, сельдерей. | Добавляем нарезанные колбаски и посыпаем все паприкой. Обжариваем, помешивая, до подрумянивания. | Добавляем кубики помидора – лучше брать плотный. Обжариваем до размягчения помидорных кубиков. | Добавляем томатный соус – у меня домашний уваренный с сельдереем и перцем – посыпаем орегано и тимьяном, чуть подсаливаем. Перемешиваем и накрываем крышкой. Тушим на слабом огне до готовности риса. | Сваренный рис отцеживаем, чуть обсушиваем и выкладываем к овощам. | Перемешиваем и подаем сразу же! | Джамбалайю вполне можно подавать на стол в той же посуде, в которой ее готовили. | И уже на столе раскладывать по тарелкам и есть горячей, в сопровождении острого перца, чеснока и свежей зелени!"
468,Овсяные котлеты,Хлопья овсяные — 250 г | Молоко — 250 мл | Яйцо куриное — 2 шт | Сыр твердый — 200 г | Соль — по вкусу | Перец черный — по вкусу | Лук репчатый — 1 шт | Масло растительное (Или сколько возьмет для жарки.) — 5 ст. л.,"Это все необходимые нам продукты. | Натираем сыр на крупной терке. | Нарезаем лук мелкими кубиками. | Соединяем все ингридиенты: овсяные хлопья, натёртый сыр, порезанный лук, молоко, яйца и все перемешиваем. | Добавляем соль, перец и все тщательно перемешиваем. Формируем шарики в форме котлеток. | Выкладываем наши котлетки на хорошо разогретую сковороду с растительным маслом и жарим на среднем огне до появления румяной корочки. | При появлении румяной корочки переворачиваем котлеты на другую сторону. | Вот такие замечательные, вкусные и хрустящие котлетки у нас получились."
469,Рататуй с гречкой,"Крупа гречневая (ТМ ""Мистраль"") — 1 пакет. | Кабачок — 0,5 шт | Перец болгарский (разного цвета по 1/4 шт) — 1 шт | Помидор — 1 шт | Чеснок — 1 зуб. | Масло растительное — 2 ст. л. | Приправа (прованские травы) — 0,5 ст. л. | Петрушка — по вкусу | Соль — по вкусу | Перец черный — по вкусу | Перец красный жгучий — по вкусу","Подготовить все продукты. | Поставить на огонь кастрюлю с 1 л воды. Как закипит, добавить пакет гречки и соль- ставим таймер на 20 минут. | Нарезать все овощи кубиками по 1,5 см, чеснок мелко. Добавить масло, прованские травы, перец, соль. Перемешать Нарезать петрушку. | Разогреть сковороду и выложить овощи, посолить, поперчить и помешивая, довести до готовности. Минут 10. Накрывая крышку. | Вынуть пакетик гречки, дать немного стечь воде, выкладываем ее на тарелку, сверху рататуй из овощей. Посыпать петрушкой. Очень вкусно, ароматно и быстро. | Приятного аппетита!"
470,Пшено с картофелем и луком,"Пшено (ТМ ""Мистраль"") — 1 пакет. | Картофель — 4 шт | Яйцо куриное — 2 шт | Лук репчатый (большой) — 1 шт | Лук зеленый — 1 веточ. | Петрушка — 1 веточ. | Лист лавровый — 1 шт | Чеснок — 1 зуб. | Масло растительное — 3 ст. л. | Соль — по вкусу | Перец черный — по вкусу","Подготовить продукты по списку. | Ставим две кастрюльки с водой. Даем закипеть, в одну добавить соль, опустить пакетик с пшеном. Ставим таймер на 20 минут. | Пока закипает вторая кастрюлька с водой, почистить картофель, нарезать его кубиками со стороной 1,5 - 2 см. Закинуть в воду, посолить, добавить, лавровый лист и почищенный зубчик чеснока. Варим минут 8 -12. Следить, чтоб не переварился, картофель разный. Одновременно в маленькой кастрюльке залить холодной водой яйца и отварить в течении 8 минут после закипания. | Нарезать лук перьями, у меня большой -150 г. Чем больше лука, тем вкуснее. Нагреть сковороду с маслом, выложить лук и обжарить на небольшом огне, помешивая, до золотистого цвета. Яйца остудить, почистить и нарезать кубиками. Слить воду с картофеля, накрыть крышкой. Выложить к луку яйца. Перемешать, прогреть несколько секунд. | Затем добавить нарезанный зеленый лук, нужные специи по вкусу. | Вынуть пакетик пшена из кипятка, дать стечь воде. На блюдо выложить картофель, сверху пшено и залить луково-яичной заправкой. Приятного аппетита!"
471,Рис с печенью по-восточному,"Рис (ТМ ""Мистраль"") — 2 пакет. | Печень куриная — 400 г | Чеснок — 2 зуб. | Имбирь (корень) — 0,5 ч. л. | Лук репчатый — 1 шт | Морковь — 1 шт | Перец болгарский — 1 шт | Сельдерей черешковый — 100 г | Масло растительное (для жарки) — 4 ст. л. | Масло оливковое (в маринад для печени) — 1 ст. л. | Мука пшеничная / Мука — 1 ст. л. | Карри — 1/4 ч. л. | Перец красный жгучий (молотый) — 1/4 ч. л. | Гвоздика (молотая) — 1 щепот. | Корица (молотая) — 1 щепот. | Перец душистый (молотый) — 1 щепот. | Соль — по вкусу","Подготовить все продукты по списку | После закипания 1, 5 литра воды опустить два пакетика риса, добавить соль и поставить таймер на 25 минут. | Печень промыть, просушить бумажным полотенцем, вырезать все жилки. | Замариновать печень на несколько минут, пока будем готовить овощи. Добавить к ней натертый свежий имбирь, чеснок. Влить оливковое масло, перемешать, отставить. | Разогреть сковороду с 2 ст. л. растительного масла. Обвалять в муке печень и выложить в сковороду. На сильном огне, помешивая, обжарить печень в течение 4-5 минут. Затем выложить на тарелку. | В оставшемся масле 2 ст. л. обжарить нарезанные соломкой перец и сельдерей, перьями нарезанный лук, натертую морковь. | Добавить к овощам все оставшиеся специи: корицу, гвоздику, душистый перец, карри, острый перец, соль. Перемешать. | Выложить печень к овощам и на маленьком огне прогревать, пока варится рис, помешивая, пару минут. | Рис вынуть из кипятка, дать стечь воде, выложить на большое блюдо, уложить сверху печень с овощами. Посыпать зеленым луком. Приятного аппетита!"
472,"Запеканка с гречкой и кабачком ""Удачная""","Крупа гречневая (торговой марки ""Мистраль"") — 1 пакет. | Кабачок (среднего размера) — 1 шт | Яйцо куриное — 1 шт | Сыр твердый (у меня сулугуни) — 100 г | Сметана (с горкой) — 2 ст. л. | Перец черный (молотый) — по вкусу | Соль — по вкусу | Чеснок (сухой, молотый) — по вкусу","Первым делом нужно отварить гречневую крупу. | Кабачок почистить и натереть на крупной терке. Гречку высыпать из пакетика. | Соединить в миске отварную гречку, кабачок. Добавить яйцо, сметану, перец черный молотый, соль и сухой чеснок. | Все тщательно перемешать, разложить по формочкам и щедро присыпать тертым сыром. Поставить в разогретую до 200 градусов духовку на 20 минут. | Можно подавать к столу. Приятного аппетита! | Хорошо подходит к запеканке сметанный соус с чесноком. Угощайтесь!"
473,"Котлеты из манки ""Манкотки""","Крупа манная — 1 стак. | Яйцо куриное (варёные) — 2 шт | Масло сливочное — 1 ст. л. | Вода — 50 мл | Горчица — 1 ч. л. | Перец черный — по вкусу | Соль — 0,5 ч. л. | Сода — 1 ч. л. | Укроп | Лук репчатый — 1 шт | Масло растительное (для жарки)","Смешать манку, соду и сливочное масло комнатной температуры. | Натереть варёные яйца, добавить горчицу. | Добавить воды и смешать. Поставить в холодильник. | За время, пока основа стоит в холодильнике, прижарить лук. В самом конце жарки добавить укроп (+ можно добавить зубчик чеснока). | Добавить зажарку, соль и перец в манную основу и хорошо размешать. | Сформировать такие вот котлетки и поджарить на среднем огне. | А вот дальше вы сами знаете, что делать ;) Приятного аппетита!"
474,Гречка в азиатском стиле,"Крупа гречневая (Ядрица гречневая в пакетиках ТМ ""Мистраль"" 125г) — 2 пакет. | Масло кунжутное (Можно использовать любое растительное, но аромат блюда будет совсем иной) — 2 ст. л. | Лук репчатый — 100 г | Морковь — 150 г | Перец чили — 1/2 шт | Чеснок — 2 зуб. | Имбирь (натертый) — 10 г | Орех мускатный (молотый) — 1/4 ч. л. | Кориандр (молотый) — 1/2 ч. л. | Петрушка — 1/2 пуч. | Лук зеленый — 1/2 пуч. | Соус (для жарки Вок, можно использовать cоус-маринад Терияки) — 4 ст. л. | Кунжут (обжаренный на сухой сковороде) — 1 ст. л.","Опустить два пакетика с гречневой крупой в кипящую воду, не открывая их. Накрыть крышкой и варить на медленном огне 20 минут. Пока варится гречка, есть 20 минут для нарезки и быстрой обжарки овощей со специями. | Нарезать репчатый лук полукольцами, | Перец чили кольцами | Морковь тонкими брусочками или натереть на терке. | Мелко нарубить чеснок | И петрушку. | Нарезать зеленый лук. | Натереть имбирь. | Достать пакетики с гречкой. Пока стекает вода, быстренько обжарить овощи. Нагреть сковороду, влить 2 столовые ложки кунжутного масла. Обжарить полукольца лука, не уменьшая огонь, буквально минуту. Он только начнет становиться прозрачным. | Добавить морковь, перец чили и жарить еще две минуты. | Добавить чеснок, имбирь, кориандр и мускатный орех. Хорошо все перемешать и готовить в течение минуты. | Всыпать нарезанные перья зеленого лука. Обжарить буквально тридцать секунд. | Хорошо перемешать. | Аккуратно вскрыть пакетики сбоку и выложить гречку к овощам. | Все соединить. Влить соус для жарки Вок и всё хорошенько перемешать. Можно использовать соус-маринад Терияки или соевый соус с добавлением сахарного песка или меда. | Добавить мелко нарезанную зелень петрушки, кунжут и хорошо перемешать."
475,Рисовая мука в домашних условиях,Рис (любой шлифованный) — 300 г | Вода — по вкусу,"Берем любой рис. У меня круглый шлифованный. | Заливаем его водой и моем. Воду постоянно сливаем и меняем на новую. | Вода должна стать абсолютно прозрачной. | Воду сливаем. Рис высыпаем на полотенце и хорошо его обсушиваем. Рис должен быть без капель воды, но влажный. Это нам нужно для того, чтобы при его переработке техника не сгорела. | Рис частями кладем в кофемолку. | Перемалываем до состояния муки. Кофемолка справляется очень хорошо с этим процессом. | Муку высыпаем в сковороду с толстым дном и разравниваем. Включаем самый минимальный огонь и, помешивая, начинаем муку подсушивать. Периодически сковороду снимаем. Нам нужно муку не поджарить, а именно просушить. Мука не должна поменять цвет. | Как проверить высохла мука или нет? Нужно взять ее в руку и сжать между пальцами. Если она собирается в комок, то муку еще нужно сушить. | Готовая мука не ""лепится"", а рассыпается в руках. | Дать муке остыть и просеять ее через самое мелкое сито. | Крупные кусочки, которые остались в сите, опять прокрутить в кофемолке и просеять. Процесс повторить. | Мука готова. Положите ее в полотняный мешочек и каждый день перемешивайте, чтобы, если осталась влага, то она уходила, мука не слежалась и не стала прелой."
476,Жареный рис по-тайски,Рис (Отварной) — 200 г | Лук репчатый — 1/2 шт | Лук зеленый — 1/2 пуч. | Перец болгарский — 1 шт | Кабачок — 1/2 шт | Горошек зеленый — 200 г | Яйцо куриное — 2 шт | Соевый соус — 2 ст. л. | Масло оливковое — 1 ст. л. | Масло подсолнечное — 1 ст. л. | Чеснок — 2 зуб.,"При наличии готового отваренного риса, готовится блюдо мгновенно! Порежем мелким кубиком репчатый лук, перец болгарский и кабачок. | На разогретую сковороду нальем буквально по ложечке оливкового и подсолнечного масла. Положим 2 зубчика чеснока. Обжарим их до золотистого цвета и вынем. Они отдали свой аромат и больше не понадобятся. | Высыпаем наши овощи на сковороду. Обжарим буквально 2 минуты. | Сверху добавим зеленый горошек. Размешаем и обжарим 1 минутку. | Зеленый лук и еще 1 минутка. | Добавляем рис, размешиваем и еще 1 минутку ждем. | Яйца взбиваем, добавляем соевый соус. | Выливаем к рису и овощам, перемешиваем, чтобы яйца распределились однородно. | Прекрасный, ароматный и полезный гарнир готов! | Подаем с любимым мясом, у меня курочка! Приятного аппетита!"
477,Фаршированный перец с рисово-сырной начинкой,"Хлопья рисовые (ТМ ""Мистраль"") — 1 стак. | Вода (кипяток) — 2 стак. | Грибы (отварные) — 70 г | Зелень (небольшой) — 1 пуч. | Сырок плавленый (пастообразный) — 70 г | Сыр твердый — 30 г | Перец болгарский (небольшие) — 4 шт","Для начала нужно залить кипятком рисовые хлопья ТМ Мистраль. Накрыть их крышкой и оставить на 5 минут для набухания. | Перцы помыть, срезать верхушку, удалить семена и перегородки. Если любите, чтобы перец после приготовления был мягкий можно опустить перчики в кипящую воду минуты на 2-3. Я не делала этого, мне нравится когда овощи аль-денте. Изнутри стенки перцев можно посолить слегка если любите соленые блюда, я не солила. Грибы и зелень порубить, сыр твердый натереть на средней терке. | Смешать набухшие рисовые хлопья ТМ Мистраль с плавленным пастообразным сыром, грибами, зеленью, часть зелени оставить в твердый сыр (по желанию). Перемешать смесь. Попробовать на соль, если нужно то подсолить (я не солила, люблю все малосоленое, мне было достаточно соли от сыра). | Нафаршировать перцы, сверху присыпать твердым сыром с зеленью. | Запечь перцы в разогретой до 200 градусов духовке минут 25-30. Если не любите румяный сыр можно минут через 15 прикрыть перцы фольгой или пекарской бумагой."
478,Гречаники кабачковые,"Кабачок (тертый) — 1 стак. | Хлопья гречневые (ТМ ""Мистраль"") — 1 стак. | Мука пшеничная / Мука — 2...3 ст. л. | Яйцо куриное — 1 шт | Соль — по вкусу | Перец черный — по вкусу | Паприка сладкая — 1 ч. л. | Порошок чесночный — 1/2 ч. л.","Натереть кабачок на крупной терке. Отмерять стакан тертой массы, слегка утрамбовывая кабачок. Отжимать жидкость не нужно, именно в ней гречневые хлопья будут набухать. | Добавить яйцо и пряности, посолить, всыпать хлопья и муку. Перемешать. | Дать постоять минут 15. Муки может уйти чуть больше – все зависит от сочности кабачка. И от ваших предпочтений – можно жарить жидковатое тесто- будут более тонкие гречаники, похожие на оладьи. А нам вот больше нравится покруче, как котлетки. | Сформовать влажными руками котлетки и обжарить на разогретом масле с двух сторон до румяной корочки. Готовые гречаники выложить на салфетку для удаления излишков масла. | Подавать гречаники теплыми, можно со сметаной, или вот с овощным салатом – отлично на завтрак! Холодными гречаники тоже очень вкусны – нам нравится со сладким чаем."
479,"Горячее ""Сливочное""",Крупа гречневая (Обьем у моего стакана 400 мл) — 1 стак. | Курица (У меня было 2 бедра и 4 голени) | Бульон (Куриный) — 400 мл | Масло растительное — 2 ст. л. | Масло сливочное — 50 г | Лук репчатый — 1 шт | Морковь — 1 шт | Соль — по вкусу | Хмели-сунели (По желанию) — по вкусу,"Лук чистим, режем кубиком. Морковь чистим, трем на крупной терке. Пассируем до мягкости на растительном масле. | Части курицы (которые есть в наличии) приправляем солью, перцем (я, конечно же, не могу без хмели-сунели). | Гречку промываем, к ней выкладываем пассированные овощи. Все тшательно перемешиваем. | Гречку с овощами выкладываем в форму для запекания (у меня форма 2,2 л). | На гречку выкладываем куски курицы. | Выливаем бульон в форму. Если нет бульона, можно взять просто подсоленную воду. | Кусочки масла укладываем поверх курицы. | Я использовала масло ТМ Экомилк. | Если есть крышка, то закрываем ее форму. Если же крышка не предусмотрена, то закрываем форму фольгой. Запекаем при 180° в духовке около 1 часа. За это время гречка идеально приготовится, а мясо будет легко отделяться от кости. За 5 минут до готовности можете убрать фольгу для того, чтобы курица подрумянилась."
480,Перлотто с шампиньонами,Крупа перловая — 1/2 стак. | Вода — 400 мл | Соль — 1/3 ч. л. | Лук репчатый — 1 шт | Шампиньоны — 400 г | Масло растительное — 1 ст. л. | Сливки (10% жирности) — 100 мл | Перец черный (У меня 4 перца свежемолотый) — 1/4 ч. л.,"Первым делом промоем тщательно крупу, зальём ее горячей водой и поставим вариться. Где-то минут через 10 воду подсолим. Это долгий процесс, перловку надо варить минут 40. | Когда крупа сварена (а если вы знаете, что вечером у вас времени совсем не будет, можно отварить ее заранее), ставим на плиту сковороду. Наливаем буквально чайную ложку растительного масла (кто какое любит, у меня подсолнечное с добавлением оливкового), чистим и режем средним кубиком или лапшой луковицу приличного размера. Пассируем лук до прозрачности. Затем добавляем к луку промытые и нарезанные ломтиками шампиньоны. Вы можете взять другие грибы, на ваш вкус. Чуть обжариваем их. | Затем добавляем соль, перец и сливки. Перемешиваемых, даём напитаться, подружиться всем вкусам. | Ну и наконец добавляем перловку. Я варю ее до состояния аль-денте, но опять же дело вкуса. Перемешиваем, тушим буквально пару минут, пробуем не надо ли добавить соли или перца. Закрываем крышкой и даём постоять минут 5-7. Вот так обычная перловка превращается в перлотто! Угощайтесь! Вкусно!"
481,Турецкий плов с курицей по-хатайски,"Голень куриная (довольно крупные) — 4 шт | Рис (стакан 250 гр) — 1 стак. | Вермишель (тоненькая...подойдет ""паутинка"") — 0,5 стак. | Соль (полная!) — 1 ч. л. | Карри — 0,5 ч. л. | Вода — 600 мл | Масло растительное — 50 мл","Начнем с того, что переберем рис. Промоем его под холодной проточной водой и выложим на сухое полотенце! Надо, чтобы рис стал сухим! Можно эту операцию проводить с рисом заранее... То есть, непосредственно после покупки, и хранить уже чистый сухой рис. | Теперь подготовим куриные голени. Если надо, то осмолите их. И хорошо вымойте. | Складываем голени в кастрюлю и заливаем водой. | Ставим на огонь. После закипания снимаем образовавшийся шум и варим на небольшом огне 10-15 минут. | За несколько минут до окончания проваривания голеней на огонь ставим казан. Вливаем растительное масло и нагреваем его. В разогретое масло всыпаем вермишель. | Быстро ее перемешивая, поджариваем до золотисто-коричневого цвета. Затем всыпаем просушенный рис к поджаренной вермишели. | Перемешиваем и всыпаем карри. | При контакте с горячим маслом рис сначала становится прозрачным, а потом матово-белым. | После того, как рис побелел, выкладываем в казан проваренные голени. | И заливаем бульоном (в котором варились голени). Добавляем соль. | Поскольку бульон горячий, необходимости ждать закипания нет. Сразу делаем минимальный огонь, закрываем казан крышкой и оставляем готовиться на 30-35 минут. После чего выключаем огонь и даем постоять плову еще минут 10 под крышкой. Плов готов! | Плов получается ""рисинка к рисинке"", рассыпчатый, с легким ароматом карри. | Можно приглашать к столу! Подавать с любыми овощами, с любыми соусами, с острой аджикой! Все подходит на сто процентов! Приятного аппетита!"
482,"Плов по-хорезмски ""Чалов""",Баранина — 600 г | Масло растительное (Или курдюк. Я количество уменьшила до 100 г) — 150 г | Рис — 600 г | Лук репчатый — 300 г | Морковь — 600 г | Зира — 5 г | Соль (по вкусу) — 2 ч. л.,"Я количество увеличила в 2,5 раза, о чем нисколько не пожалела. Мясо режем крупными кусками по 250-300 г. Кости допускаются. Курдюк режем кубиками 2х2 см, лук - полукольцами 0,5 см толщиной, морковь - пластинками толщиной 2-3 мм. В нагретый казан опускаем курдючный жир и вытапливаем на среднем огне до шкварок, которые из казана не удаляем. Если готовим на масле, раскаляем его до белого дымка. Обжариваем мясо до румяной корочки. | Добавляем лук и продолжаем жарить до подрумянивания лука. | Немножко моркови. | Добавляем зиру, соль и морковь поверх мяса с луком и, не перемешивая, заливаем холодной водой до уровня моркови. Даем закипеть, огонь уменьшаем до минимума, закрываем крышкой и тушим 8-10 часов, минимум 6 часов. Я тушила 9 часов. В следующий раз на этом месте я перенесу казан в духовку на 80 градусов и оставлю его на ночь. Хаким советует помешивать зирвак каждые 30-40 минут, дабы не подгорел. У меня он вел себя очень прилично, помешивания не требовал совершенно. | Вот такая красота получилась через 7,5 часов тушения. | За один час до окончания тушения замочить рис в теплой воде. Вытащить баранину и разобрать. Мясо отправить назад в казан, кости выбросить. По окончании тушения промыть рис проточной водой и заложить в казан, равномерно распределяя по поверхности. Залить кипятком на 1-1,5 см выше уровня риса. Прибавляем огонь до среднего и выпариваем почти всю воду. Огонь убавляем до минимума и томим под крышкой 15-20 минут. | Хаким предлагает плов подавать, выкладывая слоями. Рис, сверху мясо с морковью. Я просто перемешала плов, попробовала на соль и позвала домашних на дегустацию. Это очень нежно, вкусно и ароматно! Приятного всем аппетита и с Новым годом!"
483,Гречка с куриной печенью и яйцами,"Крупа гречневая (ТМ Мистраль) — 1 стак. | Печень куриная — 300 г | Лук репчатый — 1 шт | Яйцо перепелиное (куриное- 7 шт) — 14 шт | Масло сливочное — 30 г | Масло растительное — 3 ст. л. | Приправа (майоран, сухой укроп,паприка хлопья,перец душистый молотый, сухой чеснок.) — 1 ч. л. | Перец черный (свежемолотая смесь перцев) — 0,5 ч. л. | Соль — по вкусу | Зелень — 1 веточ.","Отварить гречку, добавив 2 стакана воды, соль и сливочное масло. | Пока варится гречка, нарезать мелко лук. Печень помыть, удалить пленочки и нарезать. | Разогреть сковороду с растительным маслом, обжарить сначала лук, затем добавить печень, приправить специями, солью и быстро обжарить, помешивая, в течении 3-х минут. Снять с огня. Все приправы для печени смешать и взять 1 ч. л. | Выложить к обжаренной печени отварную гречку, перемешать. | Выкладываем все в огнеупорную форму, в которой можно будет поставить на стол. Сделать небольшие углубления и в каждое разбить по два перепелиных яйца, Можно заменить по одному на куриное. Сверху яйца чуть посолить и приправить смесью свежемолотого перца. Порций здесь 3-4, а если аппетит хороший, то и на двоих. | Поставить в духовку 170°C запекать от 10 до 15 минут, нужно чтоб только белки схватились. Посыпать мелко нарезанной петрушкой и сразу подавать на стол. Приятного аппетита!"
484,"Плов ""Городской""",Курица — 1300 г | Рис (длиннозерный) — 2 стак. | Лук репчатый — 1 шт | Морковь (крупная) — 1 шт | Вода — 6 стак. | Соль — по вкусу | Перец черный — по вкусу | Масло подсолнечное — 2 ст. л.,"Целую курицу разрезать на куски - крылья, бедра, голени, грудку кусочками, а спинку напополам (или спину и шею можно оставить на супчик). | Лук нарезать. В посуде с толстым дном или в утятнице разогреть подсолнечное масло и слегка обжарить лук до мягкости. | Добавить мясо, перемешать с луком, посолить, поперчить, уменьшить огонь на минимум, накрыть крышкой и забыть на 25-30 минут. Курица даст сок и будет в нем тушиться. На всякий случай загляните разок, если сока будет мало, то добавить немного воды. Но обычно жидкости хватает. | Тем временем вымыть рис и натереть морковку на крупной терке. | Вскипятить шесть стаканов воды. Соотношение риса и воды должно быть 1:3, так что, если у вас получилось много жидкости от курицы, прикиньте на глазок, сколько ее, и при добавлении воды учитывайте и ее. Вылить воду к мясу, перемешать, добавить соль по вкусу, возможно, добавить любимых специй. Я не добавляю ничего, чтобы чувствовался вкус куриного бульона. Солить нужно сейчас, потому что потом, когда рис разбухнет, будет поздно. Как только вода закипит, уменьшить огонь и варить под крышкой ровно 20 минут. | Через 20 минут снять посуду с плиты, крышку не открывать. Расстелить плед (одеяло, старую куртку и т. п.), положить деревянную разделочную доску, поставить на нее кастрюлю с пловом и закутать ее пледом или одеялом. | Через 20, максимально, 30 минут плов готов. Рис получается рассыпчатым. Если забыть про плов и оставить его надолго закутанным, то рис разварится, и плов станет плотным. Вместо курицы можно использовать любое мясо, изменится вкус и время приготовления мяса. В этом случае рис нужно бросать, когда мясо уже полностью готово. | Приятного аппетита!"
485,"Гречневый салат, гарнир, каша","Крупа гречневая — 1 стак. | Яйцо куриное — 5 шт | Огурец соленый — 2 шт | Кукуруза (маленькая) — 1 бан. | Морковь — 1 шт | Лук репчатый (средние, но лучше большие) — 3 шт | Соль — 0,5 ч. л. | Перец душистый — 0,5 шт | Масло растительное (для жарки овощей) — 5 ст. л. | Укроп (сушеный) — 1 ст. л.","Отварила гречку, добавила жареной моркови (обязательно жарить со специями - соль, перец). | Как можно больше лука - тоже жарим на сливочном масле и со специями - обязательно! | Измельчаем отварные яйца. | Не жалеем. | Для сочности добавляем кукурузу и соленый огурец. | Остается перемешать и попробовать на специи. Так как каждый ингредиент солился, перчился, а также в составе есть соленые огурцы, поэтому специй хватает, можно добавить немного чеснока. Заправлять тоже ничем не надо, масло есть, сочность от огурцов тоже есть. Готово. | Это в рассыпчатом виде. | Вкуснооооо... ммммм. Так что экспериментировать полезно. Если вы не любите кукурузу, лук или на яйца аллергия - можно убрать. Можно огурцы заменить солеными грибами. Подгоните блюдо под свой вкус и поверьте - если вы недолюбливаете гречку, в таком виде будите ее есть чаще."
